ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
073240 KS,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
078930 KS,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
079550 KS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
081660 KS,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
086280 KS,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
086790 KS,Financials,Banks,Banks,Diversified Banks
088350 KS,Financials,Insurance,Insurance,Life & Health Insurance
090430 KS,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
093370 KS,Materials,Materials,Chemicals,Commodity Chemicals
096770 KS,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
097950 KS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
103140 KS,Materials,Materials,Metals & Mining,Diversified Metals & Mining
105560 KS,Financials,Banks,Banks,Diversified Banks
105630 KS,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
111770 KS,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
112610 KS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
114090 KS,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
120110 KS,Materials,Materials,Chemicals,Commodity Chemicals
128940 KS,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
137310 KS,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
138040 KS,Financials,Financial Services,Financial Services,Diversified Financial Services
138930 KS,Financials,Banks,Banks,Regional Banks
139130 KS,Financials,Banks,Banks,Regional Banks
139480 KS,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R
161390 KS,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
161890 KS,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
