ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
MTX UN,Materials,Materials,Chemicals,Specialty Chemicals
MTZ UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MU UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
MULN UR,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
MUR UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
MUSA UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
MVBF UR,Financials,Banks,Banks,Regional Banks
MVIS UQ,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
MVST UW,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
MWA UN,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
MXCT UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
MXL UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
MYE UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
MYFW UW,Financials,Banks,Banks,Regional Banks
MYGN UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MYPS UQ,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
MYRG UW,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
NABL UN,Information Technology,Software & Services,Software,Systems Software
NAPA UN,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
NARI UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NAT UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
NATI UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
NATR UR,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
NAUT UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
NAVI UW,Financials,Financial Services,Consumer Finance,Consumer Finance
NBHC UN,Financials,Banks,Banks,Regional Banks
NBIX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NBN UQ,Financials,Banks,Banks,Regional Banks
NBR UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
NBTB UW,Financials,Banks,Banks,Regional Banks
NC UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
NCLH UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
NCNO UW,Information Technology,Software & Services,Software,Application Software
NCR UN,Information Technology,Software & Services,Software,Application Software
NDAQ UW,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
NDLS UW,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
NDSN UW,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
NE UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
NEE UN,Utilities,Utilities,Electric Utilities,Electric Utilities
NEM UN,Materials,Materials,Metals & Mining,Gold
NEO UR,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
NEOG UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
NET UN,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
NETI UN,Industrials,Transportation,Marine Transportation,Marine Transportation
NEU UN,Materials,Materials,Chemicals,Specialty Chemicals
NEWR UN,Information Technology,Software & Services,Software,Application Software
NEX UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
NEXT UR,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
NFBK UW,Financials,Banks,Banks,Regional Banks
NFE UW,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
NFG UN,Utilities,Utilities,Gas Utilities,Gas Utilities
NFLX UW,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
NG UA,Materials,Materials,Metals & Mining,Gold
NGM UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
NGMS UQ,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
NGVC UN,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
NGVT UN,Materials,Materials,Chemicals,Specialty Chemicals
NHC UA,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
NHI UN,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
NI UN,Utilities,Utilities,Multi-Utilities,Multi-Utilities
NIC UN,Financials,Banks,Banks,Regional Banks
NJR UN,Utilities,Utilities,Gas Utilities,Gas Utilities
NKE UN,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
NKLA UW,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
NKTR UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
NKTX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NL UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
NLY UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
NMIH UQ,Financials,Financial Services,Financial Services,Commercial & Residential Mortg
NMRK UW,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Services
NN UR,Information Technology,Software & Services,Software,Application Software
NNI UN,Financials,Financial Services,Consumer Finance,Consumer Finance
NNN UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
NNOX UQ,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NOC UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
NODK UR,Financials,Insurance,Insurance,Property & Casualty Insurance
NOG UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
NOTV UR,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
